epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,503.801,1.14116,0.77197,0.01065,0.74505,0.8612,0.85336,0.58704,1.5739,0.84819,0.02587,0.000359409,0.000359409,0.000359409
43,515.033,1.09817,0.7044,0.01183,0.77599,0.84013,0.84549,0.58836,1.6071,0.89947,0.02794,0.000341077,0.000341077,0.000341077
44,525.532,1.07622,0.70023,0.01093,0.86178,0.8397,0.88311,0.58052,1.72398,0.88897,0.03061,0.000322745,0.000322745,0.000322745
45,536.396,1.18261,0.74985,0.01144,0.83021,0.85582,0.9138,0.575,1.63181,0.80203,0.02823,0.000304414,0.000304414,0.000304414
46,546.204,1.08346,0.72422,0.01131,0.86914,0.83213,0.9105,0.6014,1.54374,0.91839,0.02673,0.000286083,0.000286083,0.000286083
47,555.769,1.05627,0.69371,0.01355,0.8521,0.81607,0.8791,0.59126,1.58079,0.96006,0.02708,0.000267751,0.000267751,0.000267751
48,567.558,1.1216,0.78657,0.01315,0.87988,0.79514,0.88174,0.61606,1.47886,1.01365,0.02513,0.00024942,0.00024942,0.00024942
49,577.572,1.08631,0.65858,0.01516,0.7909,0.83936,0.87732,0.61226,1.48378,0.92656,0.0247,0.000231088,0.000231088,0.000231088
50,588.75,1.10622,0.73916,0.0106,0.84682,0.81422,0.8784,0.61645,1.47258,0.94101,0.02363,0.000212757,0.000212757,0.000212757
51,616.951,1.02675,0.66048,0.01332,0.84677,0.8229,0.85898,0.61059,1.43745,0.93941,0.02314,0.000194425,0.000194425,0.000194425
52,631.382,0.91961,0.6248,0.01289,0.81491,0.84167,0.87515,0.61713,1.44077,0.92619,0.02401,0.000176094,0.000176094,0.000176094
53,644.746,0.89593,0.50778,0.01138,0.7764,0.87299,0.86962,0.60261,1.56084,0.79545,0.028,0.000157762,0.000157762,0.000157762
54,656.63,0.92124,0.49756,0.01097,0.8675,0.74423,0.86961,0.62658,1.50089,0.91978,0.02666,0.000139431,0.000139431,0.000139431
55,668.169,0.98172,0.54983,0.01226,0.91593,0.77212,0.86366,0.61888,1.32516,1.05167,0.02168,0.000121099,0.000121099,0.000121099
56,679.992,0.87933,0.46437,0.01174,0.88753,0.81187,0.88486,0.63829,1.29884,1.05663,0.02117,0.000102768,0.000102768,0.000102768
57,689.194,0.92324,0.63041,0.01102,0.92465,0.81475,0.8865,0.63795,1.31353,1.03186,0.02135,8.4436e-05,8.4436e-05,8.4436e-05
58,701.261,0.92324,0.50096,0.01181,0.94869,0.79644,0.88988,0.63568,1.3302,0.95102,0.02137,6.61045e-05,6.61045e-05,6.61045e-05
59,711.596,0.87262,0.49855,0.0111,0.95404,0.79765,0.88833,0.643,1.37517,0.88701,0.02218,4.7773e-05,4.7773e-05,4.7773e-05
60,724.536,0.84819,0.5085,0.00996,0.92131,0.78333,0.86696,0.63195,1.34269,0.92161,0.02191,2.94415e-05,2.94415e-05,2.94415e-05
